ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI147,20161.401830847044,83.5,6.1,9.3,1.1,47.4,51237.0,9835.459792000927,47.5,87.1,1348.0,556600.0,24.8,96.6,43.3,72.266139657444,21.870882740447957,7.801204819277109,13.163172288058341
SI151,57600.05116160459,74.0,1.0,17.6,6.8,39.1,47056.0,22637.013035598975,33.8,91.1,1434.0,500200.0,33.7,96.3,39.0,69.76744186046511,29.111295681063122,2.425106990014265,8.125
SI154,0.0,,,,,,,0.0,,,,,,,,,,,
SI156.01,48108.01444607485,88.3,0.1,7.5,4.1,43.0,45679.0,19262.77718158434,16.200000000000003,93.7,1292.0,572100.0,32.1,94.9,40.5,67.20308979723205,30.76923076923077,0.9518828451882845,6.819923371647509
SI156.02,39606.97601441633,91.4,0.8,6.1,1.3,44.2,40994.0,14147.093838585473,9.199999999999994,93.4,1677.0,577900.0,34.4,97.3,39.9,73.6120182887002,22.534291312867406,1.5072463768115938,8.287488908606921
SI156.03,49794.60787610768,80.6,0.0,16.2,3.2,40.4,38039.0,18801.473535384175,19.400000000000006,95.8,2082.0,468000.0,36.3,94.3,31.7,62.47591522157996,29.91329479768786,3.57487922705314,10.362374710871242
SI169.01,51431.20212860969,71.9,3.4,12.8,10.1,35.0,39369.0,16072.25066519053,32.8,97.1,1601.0,538500.0,41.0,90.3,34.1,69.48853615520282,22.281011169900058,5.910290237467018,10.008460236886632
SI170.10,87863.27312053017,70.1,0.9,21.9,5.2,37.8,35567.0,30946.104252495777,16.299999999999997,98.3,1149.0,397200.0,37.6,92.0,32.2,70.8726130045927,25.985013294657964,0.8279069767441859,3.6732605729877217
SI173,73479.2500126784,30.9,19.8,21.5,24.1,42.4,30103.0,31580.710526149018,58.699999999999996,95.0,472.0,585600.0,31.7,96.1,32.3,64.4893111638955,23.871733966745843,8.656716417910447,32.1915285451197
SI176,15316.422440589975,93.1,1.5,3.5,1.0,43.9,51857.0,5622.44420380494,23.299999999999997,95.1,1595.0,773100.0,35.6,95.8,44.1,73.68189806678383,19.507908611599298,0.45045045045045046,7.751937984496124
