ITZ_GEOID,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
QN1507.02,37173.50720214462,66.7,0.5,14.4,31.8,45.5,39608.0,15422.520749415227,31.500000000000007,88.4,1364.0,662000.0,31.6,94.7,51.2,73.58767424798239,17.02127659574468,10.818965517241379,13.66899302093719
QN1529.01,48470.90626575678,46.7,4.9,11.0,44.8,47.2,35418.0,19755.91440215679,72.9,94.8,1693.0,412200.0,30.4,91.3,46.8,72.57456290709634,23.277339732601988,0.6332842415316642,6.424185167690127
QN1529.02,52784.98298994027,60.0,2.2,9.9,34.6,53.5,39087.0,23502.575824994987,63.300000000000004,97.3,750.0,297900.0,14.1,95.5,57.4,69.11276948590381,24.212271973466002,0.2568493150684932,7.942411517696461
QN1567,9858.642987178633,22.0,19.3,14.2,44.8,41.3,20352.0,2371.8334012197633,81.2,88.5,1342.0,613300.0,24.5,76.2,31.3,67.83783783783784,26.486486486486488,11.428571428571429,55.57768924302789
QN1571.01,68297.79235665694,37.4,6.3,8.0,48.1,35.0,31063.0,24266.537200622308,25.2,91.3,1120.0,490100.0,45.3,88.6,39.2,67.0715249662618,26.88259109311741,1.5662650602409638,5.899396378269618
QN1571.02,69985.47262987083,38.5,1.2,20.4,55.6,34.7,22228.0,18986.703800619805,29.199999999999996,92.4,1386.0,600800.0,54.8,96.6,37.2,58.24742268041237,32.7319587628866,10.118110236220472,27.654867256637168
QN1579.01,62368.92687281643,54.3,0.0,9.1,41.0,44.7,31108.0,22333.948865167244,22.300000000000004,95.5,1364.0,521200.0,31.5,93.5,42.4,67.23320158102767,25.968379446640316,0.0,9.212228101116988
QN1579.02,56212.142853909776,39.3,3.7,10.7,43.5,43.6,29158.0,17233.028426596084,8.300000000000006,97.0,,568200.0,37.0,94.5,38.7,57.92316926770708,31.272509003601442,4.491362763915547,14.21761658031088
QN641.02,465.70029542051975,100.0,0.0,0.0,0.0,65.9,22970.0,300.76477412575235,100.0,100.0,,170600.0,0.0,100.0,13.1,0.0,100.0,0.0,
QN645,74664.41721307994,50.6,1.4,22.4,35.6,40.8,36117.0,28733.21673649425,37.9,92.2,1585.0,599600.0,42.9,98.2,41.0,50.52521008403362,44.747899159663866,6.924882629107981,34.13721413721414
